Id,Date,CalculatedDailySteps
8378563200,2016-03-23,10287
8378563200,2016-03-24,6350
8378563200,2016-03-25,11326
8378563200,2016-03-26,5502
8378563200,2016-03-27,2104
8378563200,2016-03-28,13252
8378563200,2016-03-29,13207
8378563200,2016-03-30,7771
8378563200,2016-03-31,13578
8378563200,2016-04-01,14179
8378563200,2016-04-02,3358
8378563200,2016-04-03,9152
8378563200,2016-04-04,13927
8378563200,2016-04-05,12846
8378563200,2016-04-06,9124
8378563200,2016-04-07,9725
8378563200,2016-04-08,8350
8378563200,2016-04-09,2240
8378563200,2016-04-10,2631
8378563200,2016-04-11,8837
8378563200,2016-04-12,2971
8583815059,2016-03-12,2579
8583815059,2016-03-13,2694
